global_category,overview_category,map_category,column_name,long_name,Definition,group_indicator,Source,multiple_version
Overview,Summary of Commitment,Child and Youth Sensitivity,child_sensitive_NDC,Child Sensitivity Category of NDC,"The indicator refers to whether the NDC can be consider child- sensitive, based on the following key principles: References, Rights-Based, Holistic and Multisectoral, and Inclusive.",,UNICEF,TRUE
Overview,UNFCCC Process,,pa_ratified,Ratified,,,Climate Watch,FALSE
Overview,UNFCCC Process,,pa_ratified_date,Date of ratification,,,Climate Watch,FALSE
Overview,UNFCCC Process,,pa_sign,Signed,,,Climate Watch,FALSE
Overview,UNFCCC Process,,pa_sign_date,Date of signature,,,Climate Watch,FALSE
Overview,UNFCCC Process,UNFCCC Process,pa_status,Status of ratification,,,Climate Watch,FALSE
Overview,UNFCCC Process,UNFCCC Process,submission,Latest submission,,,Climate Watch,FALSE
Overview,UNFCCC Process,UNFCCC Process,submission_type,Last submission document type,,,Climate Watch,FALSE
Overview,UNFCCC Process,,submission_date,Latest submission date,,,Climate Watch,FALSE
Overview,UNFCCC Process,UNFCCC Process,indc_submission,INDC Submission,,,Climate Watch,FALSE
Overview,UNFCCC Process,UNFCCC Process,revised,Revised from previous submission,,,Climate Watch,FALSE
Overview,Planning Process,,stakeholder_consultation,NDC preparation: stakeholder consultation,,,NDC Explorer,TRUE
Overview,Planning Process,,planning_of_ndc_implementation,Planning of NDC implementation,,,NDC Explorer,TRUE
Overview,Planning Process,,education,Education,"Mentioning of education, and whether countries plan to do education to implement their INDC (adaptation, mitigation or both)",,NDC Explorer,TRUE
Overview,Planning Process,,aw_rais,Awareness raising,"Mentioning of awareness raising on climate change, and whether countries plan to raise people's awareness to implement their INDC (adaptation, mitigation or both)",,NDC Explorer,TRUE
Overview,Planning Process,,training,Training,"Mentioning of training on climate change, and whether countries plan to do training to implement their INDC (adaptation, mitigation or both)",,NDC Explorer,TRUE
Overview,Planning Process,,info_access,Access to information,"Mentioning of access to information, and whether countries plan to improve information access to implement their INDC (adaptation, mitigation or both)",,NDC Explorer,TRUE
Overview,Planning Process,,monitoring_and_review,Monitoring and review,,,NDC Explorer,TRUE
Overview,Planning Process,,co_benefits_ccm,Co-benefits of mitigation,,,NDC Explorer,TRUE
Overview,Planning Process,,co_benefits_of_adaptation,Co-benefits of adaptation,,,NDC Explorer,TRUE
Overview,Planning Process,Child and Youth Sensitivity,child_consultation,Included children in the review and update process,The indicator refers to whether the participatory process carried out to develop the new or updated NDC specifically included children or adolescents and is specifically mentioned in the NDC document.,,UNICEF,TRUE
Overview,Planning Process,Child and Youth Sensitivity,youth_consultation,Included young people in the review and update process,The indicator refers to whether the participatory process carried out to develop the new or updated NDC specifically included young people and is specifically mentioned in the NDC document.,,UNICEF,TRUE
Overview,Children and Young People,ACE Commitments,action_climate_empowerment,Inclusion of commitments in at least one of the Action for Climate Empowerment framework components,"The indicator refers to whether the NDC integrates the Action for Climate Empowerment (ACE) framework by including commitments in at least one of its components: education, training, public awareness, public access to information, public participation and international cooperation; even if the NDC doesnÂ´t explicitly refer to ACE.",,UNICEF,TRUE
Overview,Children and Young People,ACE Commitments,ace_training,Inclusion of child-sensitive commitments on training,"The indicator refers to whether the training commitments included in the NDC can be considered child/youth- sensitive. This means that it specifically addresses or considers the training of children and young people, families or the sectors and services on which children depend, such as teachers, health professionals or social institutions.",,UNICEF,TRUE
Overview,Children and Young People,ACE Commitments,ace_public_awareness,Inclusion of child-sensitive commitments on public awareness,"The indicator refers to whether the public awareness commitments included in the NDC can be considered child/youth- sensitive. This means that it addresses or considers specifically the awareness of children and young people, families or the sectors and services on which children depend, such as teachers, health professionals or social institutions through targeted and systematic communications.",,UNICEF,TRUE
Overview,Children and Young People,ACE Commitments,ace_public_access_information ,Inclusion of child-sensitive commitments on public access to information,"The indicator refers to whether the public access to information commitments included in the NDC can be considered child- and youth- sensitive. This means that it specifically addresses or consider the capacities and needs of children and young people to access information, including that information is available in a child-friendly manner â€“ in age-appropriate and suitable for the capacities of children of all groups and backgrounds.",,UNICEF,TRUE
Overview,Children and Young People,ACE Commitments,ace_public_participation,Inclusion of child-sensitive commitments on inclusion of children and youth in public participation ,The indicator refers to whether the public participation commitments included in the NDC can be considered child- and youth- sensitive. This means that it specifically addresses or considers meaningful participation of children and young people in decision making spaces on the climate agendaâ€,,UNICEF,TRUE
Overview,Children and Young People,Child and Youth Sensitivity,references_child,Criteria 1: References - Explicit and meaningful reference to children and youth,The indicator refers to the existence of explicit and meaningful references to children and youth within the NDC.,,UNICEF,TRUE
Overview,Children and Young People,Child and Youth Sensitivity,right_based_child,Criteria 2: Rights-Based - Consider children and youth as rights-holders ,"This indicater refers to whether the NDC considers children and youth as rights-holders, through meaningful references to children rights or intergenerational justice and equity.",,UNICEF,TRUE
Overview,Children and Young People,Child and Youth Sensitivity,multisectoral_child,Criteria 3: Holistic and Multisectoral - Addresses the specific risks and vulnerabilities of children,This indicator refers to whether the NDC addresses the specific risks and vulnerabilities of children by including child-sensitive multi-sectoral commitments.,,UNICEF,TRUE
Overview,Children and Young People,Child and Youth Sensitivity,inclusive_child,Criteria 4: Inclusive - Identifies children and youth as an important stakeholder ,This indicator refers to whether the NDC identifies children and youth as an important stakeholder and ensures inclusiveness by having integrated children and youth in the consultation process or committing to enhance child and youth participation and empowerment.,,UNICEF,TRUE
Overview,Children and Young People,Child and Youth Sensitivity,children_drivers_of_change,Identification of children as drivers of change,The indicator refers to whether children are identified as important stakeholders or agents of change in climate action.,,UNICEF,TRUE
Overview,Children and Young People,Child and Youth Sensitivity,youth_drivers_of_change,Identification of young people as drivers of change,The indicator refers to whether young people are identified as important stakeholders or agents of change in climate action.,,UNICEF,TRUE
Overview,Finance and Support,,adaptation_conditional_financial_requirements,Identified Financial Requirements for Adaptation Conditional (billion USD) ,,,Climate Watch,TRUE
Overview,Finance and Support,,adaptation_unconditional_financial_requirements,Identified Financial Requirements for Adaptation Unconditional (billion USD) ,,,Climate Watch,TRUE
Overview,Finance and Support,,adaptation_total_financial_requirements,Identified Financial Requirements for Adaptation Total (billion USD) ,,,Climate Watch,TRUE
Overview,Finance and Support,,mitigation_conditional_financial_requirements,Identified Financial Requirements for Mitigation Conditional (billion USD) ,,,Climate Watch,TRUE
Overview,Finance and Support,,mitigation_unconditional_financial_requirements,Identified Financial Requirements for Mitigation Unconditional (billion USD) ,,,Climate Watch,TRUE
Overview,Finance and Support,,mitigation_total_financial_requirements,Identified Financial Requirements for Mitigation Total (billion USD) ,,,Climate Watch,TRUE
Overview,Finance and Support,,unspecified_conditional_financial_requirements,Identified Financial Requirements (Unspecified) Conditional (billion USD) ,,,Climate Watch,TRUE
Overview,Finance and Support,,unspecified_unconditional_financial_requirements,Identified Financial Requirements (Unspecified) Unconditional (billion USD) ,,,Climate Watch,TRUE
Overview,Finance and Support,,unspecified_total_financial_requirements,Identified Financial Requirements (Unspecified) Total (billion USD) ,,,Climate Watch,TRUE
Overview,Finance and Support,,conditional_financial_requirements,Identified Total conditional Financial Requirements (billion USD),,,Climate Watch,TRUE
Overview,Finance and Support,,unconditional_financial_requirements,Identified Total unconditional Financial Requirements (billion USD),,,Climate Watch,TRUE
Overview,Finance and Support,Finance and Support,identified_total_financial_requirements,Identified Total Financial Requirements (billion USD),,,Climate Watch,TRUE
Overview,Finance and Support,Finance and Support,identified_financial_requirements_for_adaptation,Identified Total Financial Requirements for Adaptation (billion USD),,,Climate Watch,TRUE
Overview,Finance and Support,Finance and Support,identified_financial_requirements_for_mitigation,Identified Total Financial Requirements for Mitigation (billion USD),,,Climate Watch,TRUE
Overview,Finance and Support,Finance and Support,identified_unspecified_financial_requirements,Identified Total Unspecified Financial Requirements (billion USD),,,Climate Watch,TRUE
Overview,Finance and Support,Finance and Support,current_loss_and_damage_economic_losses_identified,Identified Total Economic Loss for Current Loss and Damage,,,Climate Watch,TRUE
Overview,Finance and Support,Finance and Support,future_loss_and_damage_economic_losses_identified,Identified Total Economic Loss for Future Loss and Damage,,,Climate Watch,TRUE
Overview,Finance and Support,,conditionality_of_adaptation_finance,Conditionality of adaptation finance,,,NDC Explorer,TRUE
Overview,Finance and Support,,conditionality_of_mitigation_finance,Conditionality of mitigation finance,,,NDC Explorer,TRUE
Overview,Finance and Support,,conditionality_of_technology_transfer,Conditionality of technology transfer,,,NDC Explorer,TRUE
Overview,Finance and Support,,M_Cost7,Technologies needed to implement NDC,,,WB,TRUE
Overview,Finance and Support,,conditionality_of_capacity_building,Conditionality of capacity building,,,NDC Explorer,TRUE
Overview,Finance and Support,,M_Cost8,Capacity building needed to implement NDC,,,WB,TRUE
Overview,Finance and Support,,M_Cost1,Total estimated costs of implementation of target,,,WB,TRUE
Overview,Finance and Support,,M_Cost2,Mitigation costs of implementation of target,,,WB,TRUE
Overview,Finance and Support,,M_Cost3,Adaptation costs of implementation of target,,,WB,TRUE
Overview,Finance and Support,,M_Cost4,Other costs of implementation of target,Other cost associated with the implementation of target ,,WB,TRUE
Overview,Finance and Support,,M_Cost6,Potential financing sources identified in NDC,Potential financing resources identified,,WB,TRUE
Overview,Finance and Support,,A_Cd_UncCost,Total implementation costs for unconditional part,,,WB,TRUE
Overview,Finance and Support,,A_Cd_ConCost,Total implementation costs for conditional part ,,,WB,TRUE
Overview,Finance and Support,,climate_risk_insurance,Climate risk insurance,,,NDC Explorer,TRUE
Overview,Fairness and Ambition,,fairness,Description of fairness,,,Climate Watch,TRUE
Overview,Fairness and Ambition,,ambition,Description of ambition,,,Climate Watch,TRUE
Overview,Fairness and Ambition,,objective,Description of how it contributes towards achieving the objective of the Convention,,,Climate Watch,TRUE
Overview,Broader Picture,,historical_responsibility,Historical responsibility,,,NDC Explorer,TRUE
Overview,Broader Picture,,temp_target,Limiting global temperature increase,,,NDC Explorer,TRUE
Overview,Broader Picture,,gender,Gender,,,NDC Explorer,TRUE
Overview,Broader Picture,,human_rights,Human rights,,,NDC Explorer,TRUE
Overview,Broader Picture,,green_economy,Green growth/green economy,,,NDC Explorer,TRUE
Overview,Broader Picture,,loss_and_damage,Loss and damage,,,NDC Explorer,TRUE
Overview,NDC Enhancement Tracker,,ndce_ghg,Share of Global GHG Emissions,,,Climate Watch,FALSE
Overview,NDC Enhancement Tracker,,ndce_status_2020,NDC Status,,,Climate Watch,FALSE
Overview,NDC Enhancement Tracker,,ndce_statement,Statement,,,Climate Watch,FALSE
Overview,NDC Enhancement Tracker,,ndce_date,Date,,,Climate Watch,FALSE
Overview,NDC Enhancement Tracker,,ndce_source,Source Link,,,Climate Watch,FALSE
Overview,NDC Enhancement Tracker,,ndce_compare,NDCE Compare,,,Climate Watch,FALSE
Mitigation,GHG Target,,ghg_target_type,GHG target type,,,Climate Watch,TRUE
Mitigation,GHG Target,Mitigation,time_single_multi_year_target,Single or multi-year target,,,Climate Watch,TRUE
Mitigation,GHG Target,,time_target_emissions,Target level of emissions,,,Climate Watch,TRUE
Mitigation,GHG Target,,M_TarYr,Target year,The year by which mitigation objectives are expected to be achieved,,WB,TRUE
Mitigation,GHG Target,,M_TarA1,Absolute emission reduction (MtCO2eq),,,WB,TRUE
Mitigation,GHG Target,,M_TarA2,Emission reduction compared to base year (%),,,WB,TRUE
Mitigation,GHG Target,,M_TarA3,Emissions level in base year (MtCO2eq),,,WB,TRUE
Mitigation,GHG Target,,M_TarA4,Base year,,,WB,TRUE
Mitigation,GHG Target,,M_TarA5,Absolute emission reduction compared to baseline (MtCO2eq),,,WB,TRUE
Mitigation,GHG Target,,M_TarA6,Baseline emissions level in target year (MtCO2eq),,,WB,TRUE
Mitigation,GHG Target,,M_TarB1,Emission reduction compared to baseline (%),,,WB,TRUE
Mitigation,GHG Target,,M_TarB2,Baseline emissions level in target year (MtCO2eq),,,WB,TRUE
Mitigation,GHG Target,,M_TarC1,Targeted emissions intensity per GDP (tCO2eq per GDP),,,WB,TRUE
Mitigation,GHG Target,,M_TarC2,Reduction in emissions intensity per GDP compared to base year (%),,,WB,TRUE
Mitigation,GHG Target,,M_TarC3,Emissions intensity per GDP in base year (tCO2eq per GDP),,,WB,TRUE
Mitigation,GHG Target,,M_TarC4,Base year,,,WB,TRUE
Mitigation,GHG Target,,M_TarC7,Targeted emissions intensity per capita (tCO2eq per capita),,,WB,TRUE
Mitigation,GHG Target,,M_TarC8,Reduction in emissions intensity per capita compared to base year (% per capita),,,WB,TRUE
Mitigation,GHG Target,,M_TarC9,Emissions intensity per capita in base year (tCO2eq per capita),,,WB,TRUE
Mitigation,GHG Target,,M_TarC10,Base year,,,WB,TRUE
Mitigation,GHG Target,,M_TarC11,Reduction in emissions intensity per capita compared to target year (%),,,WB,TRUE
Mitigation,GHG Target,,M_TarC12,Baseline emissions intensity per capita in target year (tCO2eq per capita),,,WB,TRUE
Mitigation,GHG Target,,M_Con1,Unconditional part of mitigation target,,,WB,TRUE
Mitigation,GHG Target,,M_Con2,Estimated costs of unconditional part,,,WB,TRUE
Mitigation,GHG Target,,M_Con3,Conditional part of mitigation target,,,WB,TRUE
Mitigation,GHG Target,,M_Con4,Estimated costs of conditional part,,,WB,TRUE
Mitigation,GHG Target,,M_Con5,"Conditional upon international provision of means of implementation: capacity building, technology development and transfer, financing",Whether the NDC is conditional upon international support,,WB,TRUE
Mitigation,GHG Target,,M_OtherCon,Other conditions,,,WB,TRUE
Mitigation,GHG Target,,M_TarYr_2,Second target year,Whether the NDC has a second-year target,,WB,TRUE
Mitigation,GHG Target,,M_TarA1_2,Second Target: Absolute emission reduction (MtCO2eq),,,WB,TRUE
Mitigation,GHG Target,,M_TarA2_2,Second Target: Emission reduction compared to base year (%),,,WB,TRUE
Mitigation,GHG Target,,M_TarA3_2,Second Target: Emissions level in base year (MtCO2eq),,,WB,TRUE
Mitigation,GHG Target,,M_TarA4_2,Second Target: Base year,,,WB,TRUE
Mitigation,GHG Target,,M_TarA5_2,Second Target: Absolute emission reduction compared to baseline (MtCO2eq),,,WB,TRUE
Mitigation,GHG Target,,M_TarA6_2,Second Target: Baseline emissions level in target year (MtCO2eq),,,WB,TRUE
Mitigation,GHG Target,,M_TarB1_2,Second Target: Emissions reduction compared to baseline (%),,,WB,TRUE
Mitigation,GHG Target,,M_TarB2_2,Second Target: Baseline emissions level in target year (MtCO2eq),,,WB,TRUE
Mitigation,GHG Target,,M_TarC1_2,Second Target: Targeted emissions intensity per GDP (tCO2eq per GDP),,,WB,TRUE
Mitigation,GHG Target,,M_TarC2_2,Second Target: Reduction in emissions intensity per GDP compared to base year (%),,,WB,TRUE
Mitigation,GHG Target,,M_TarC3_2,Second Target: Emissions intensity per GDP in base year (tCO2eq per GDP),,,WB,TRUE
Mitigation,GHG Target,,M_TarC4_2,Second Target: Base year,,,WB,TRUE
Mitigation,GHG Target,,M_TarC7_2,Second Target: Targeted emissions intensity per capita (tCO2eq per capita),,,WB,TRUE
Mitigation,GHG Target,,M_TarC8_2,Second Target: Reduction in emissions intensity per capita compared to base year (% per capita),,,WB,TRUE
Mitigation,GHG Target,,M_TarC9_2,Second Target: Emissions intensity per capita in base year (tCO2eq per capita),,,WB,TRUE
Mitigation,GHG Target,,M_TarC10_2,Second Target: Base year,,,WB,TRUE
Mitigation,GHG Target,,M_TarC11_2,Second Target: Reduction in emissions intensity per capita compared to target year (%),,,WB,TRUE
Mitigation,GHG Target,,M_TarC12_2,Second Target: Baseline emissions intensity per capita in target year (tCO2eq per capita),,,WB,TRUE
Mitigation,GHG Target,,M_Con1_2,Second Target: Unconditional part of mitigation target,,,WB,TRUE
Mitigation,GHG Target,,M_Con2_2,Second Target: Estimated costs of unconditional part,,,WB,TRUE
Mitigation,GHG Target,,M_Con3_2,Second Target: Conditional part of mitigation target,,,WB,TRUE
Mitigation,GHG Target,,M_Con4_2,Second Target: Estimated costs of conditional part,,,WB,TRUE
Mitigation,GHG Target,,M_Con5_2,"Second Target: Conditional upon international provision of means of implementation: capacity building, technology development and transfer, financing",Whether the second target is conditional upon international support,,WB,TRUE
Mitigation,GHG Target,,M_OtherCon_2,Second Target: Other conditions,,,WB,TRUE
Mitigation,Scope and Coverage,Mitigation,coverage_gas,GHG coverage,Chemical notations,,Climate Watch,TRUE
Mitigation,Scope and Coverage,,coverage_ghg,Greenhouse gases covered,Text,,Climate Watch,TRUE
Mitigation,Scope and Coverage,Mitigation,coverage_sectors,Sectors covered,,,Climate Watch,TRUE
Mitigation,Scope and Coverage,,coverage_percent_covered,"Percentage of national emissions covered, as reflected in the most recent national greenhouse gas inventory",,,Climate Watch,TRUE
Mitigation,Overall Assumptions and Methodologies,,method_ipcc,IPCC inventory methodologies to be used to track progress,,,Climate Watch,TRUE
Mitigation,Overall Assumptions and Methodologies,,method_gwp,Global warming potential (GWP) values to be used to track progress,,,Climate Watch,TRUE
Mitigation,Overall Assumptions and Methodologies,,method_baseline_static_dynamic,Baseline scenario targets: Static or dynamic baseline scenario,,,Climate Watch,TRUE
Mitigation,Overall Assumptions and Methodologies,,method_baseline_year,"Baseline scenario targets: Cut-off year for policies included in the baseline scenario, and any significant policies excluded from the baseline scenario",,,Climate Watch,TRUE
Mitigation,Overall Assumptions and Methodologies,,method_baseline_projection_method,Baseline scenario targets: Projection method,,,Climate Watch,TRUE
Mitigation,Overall Assumptions and Methodologies,,method_baseline_emission_drivers,Baseline scenario targets: Emission drivers included and assumptions and data sources for key drivers,,,Climate Watch,TRUE
Mitigation,Overall Assumptions and Methodologies,,method_baseline_dynamic_recalculation,"Baseline scenario targets: For dynamic baseline scenario targets, under what conditions will the baseline be recalculated",,,Climate Watch,TRUE
Mitigation,Overall Assumptions and Methodologies,,method_intensity,Assumptions and methodological approaches for GHG reduction targets relative to emissions intensity,,,Climate Watch,TRUE
Mitigation,Overall Assumptions and Methodologies,,method_actions,Assumptions and methodological approaches for NDCs that include actions,,,Climate Watch,TRUE
Mitigation,Overall Assumptions and Methodologies,Mitigation,method_imm,Planned use of international market mechanisms,,,Climate Watch,TRUE
Mitigation,Accounting for Emissions and Removals from the Land Sector,,method_land_treatment,Treatment of land sector,,,Climate Watch,TRUE
Mitigation,Accounting for Emissions and Removals from the Land Sector,,method_land_coverage,"Coverage of the land sector as compared to total net emissions from the land sector, as a percentage if known",,,Climate Watch,TRUE
Mitigation,Accounting for Emissions and Removals from the Land Sector,,method_land_accounting_approach,Assumed accounting approach for the land sector (activity-based or land-based),,,Climate Watch,TRUE
Mitigation,Accounting for Emissions and Removals from the Land Sector,,method_land_accounting_method,"Assumed accounting method for the land sector (net-net, forward-looking baseline, or gross-net)",,,Climate Watch,TRUE
Mitigation,Accounting for Emissions and Removals from the Land Sector,,method_land_level,"Level against which emissions and removals from the land sector are accounted, including policy assumptions and methodologies employed",,,Climate Watch,TRUE
Mitigation,Accounting for Emissions and Removals from the Land Sector,,method_land_method,Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects,,,Climate Watch,TRUE
Mitigation,Accounting for Emissions and Removals from the Land Sector,,method_land_other,"Any other relevant accounting approaches, assumptions or methodologies",,,Climate Watch,TRUE
Mitigation,International Market Mechanism,,method_imm_limit,Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms,,,Climate Watch,TRUE
Mitigation,International Market Mechanism,,method_imm_type_unit,Assumed types and years of units to be applied,,,Climate Watch,TRUE
Mitigation,International Market Mechanism,,method_imm_double_counting,Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting,,,Climate Watch,TRUE
Mitigation,Overall Planning and Preparation,,planning_processes,Planning processes,,,Climate Watch,TRUE
Mitigation,Overall Planning and Preparation,,M_PL1,Political decision (head of state/ cabinet/ environment ministry),The main institution(s) responsible for enacting climate policies at the country level,,WB,TRUE
Mitigation,Overall Planning and Preparation,,M_PL2,Technical decision (stakeholder involvement),Whether stakeholders were involved for technical decision on the NDC,,WB,TRUE
Mitigation,Overall Planning and Preparation,,M_PL3,Assessment of development benefits,Whether or not of the development benefits were assessed in the NDC ,,WB,TRUE
Mitigation,Overall Planning and Preparation,,M_PL4,Building on existing LEDS (Low Emission Development Strategies and Plans),Whether the NDC builds on existing LEDS,,WB,TRUE
Mitigation,Overall Planning and Preparation,,M_PL5,Building on existing national development policies,The existing development policies that the NDC builds on,,WB,TRUE
Mitigation,Overall Planning and Preparation,,M_PL6,NDC development supported by development partner,The development partner (s) that has provided support for the preparation of the NDC,,WB,TRUE
Mitigation,Overall Planning and Preparation,,M_PL7,Barriers,"The barriers that countries are facing to implement their NDC (i.e. Data uncertainty, lack of policy coordination, poor economic growth, financial constraints",,WB,TRUE
Mitigation,,Sectoral Mitigation Measures,m_industries,Industries,,,Climate Watch,TRUE
Mitigation,,Sectoral Mitigation Measures,m_waste,Waste,,,Climate Watch,TRUE
Mitigation,,Sectoral Mitigation Measures,m_energy,Energy,,,Climate Watch,TRUE
Mitigation,,Sectoral Mitigation Measures,m_economy-wide,Economy-wide,,,Climate Watch,TRUE
Mitigation,,Sectoral Mitigation Measures,m_lulucf,LULUCF/Forestry,,,Climate Watch,TRUE
Mitigation,,Sectoral Mitigation Measures,m_transport,Transport,,,Climate Watch,TRUE
Mitigation,,Sectoral Mitigation Measures,m_buildings,Buildings,,,Climate Watch,TRUE
Mitigation,,Sectoral Mitigation Measures,m_agriculture,Agriculture,,,Climate Watch,TRUE
Adaptation,,Sectoral Adaptation Measures,a_agriculture,Agriculture,,,Climate Watch,TRUE
Adaptation,,Sectoral Adaptation Measures,a_coastal_zone,Coastal Zone,,,Climate Watch,TRUE
Adaptation,,Sectoral Adaptation Measures,a_cross_cutting_area,Cross-Cutting Area,,,Climate Watch,TRUE
Adaptation,,Sectoral Adaptation Measures,a_drm,Disaster Risk Management (DRM),,,Climate Watch,TRUE
Adaptation,,Sectoral Adaptation Measures,a_education,Education,,,Climate Watch,TRUE
Adaptation,,Sectoral Adaptation Measures,a_energy,Energy,,,Climate Watch,TRUE
Adaptation,,Sectoral Adaptation Measures,a_environment,Environment,,,Climate Watch,TRUE
Adaptation,,Sectoral Adaptation Measures,a_health,Health,,,Climate Watch,TRUE
Adaptation,,Sectoral Adaptation Measures,a_lulucf,LULUCF/Forestry,,,Climate Watch,TRUE
Adaptation,,Sectoral Adaptation Measures,a_social_development,Social Development ,,,Climate Watch,TRUE
Adaptation,,Sectoral Adaptation Measures,a_tourism,Tourism,,,Climate Watch,TRUE
Adaptation,,Sectoral Adaptation Measures,a_transport,Transport,,,Climate Watch,TRUE
Adaptation,,Sectoral Adaptation Measures,a_urban,Urban,,,Climate Watch,TRUE
Adaptation,,Sectoral Adaptation Measures,a_water,Water,,,Climate Watch,TRUE
Adaptation,Implementation (Adaptation),,A_Im_Finan,Financial Support,,,Climate Watch,TRUE
Adaptation,Implementation (Adaptation),,A_Im_TecTran,Technology Transfer,,,Climate Watch,TRUE
Adaptation,Implementation (Adaptation),,A_Im_CapBul,Capacity Building,,,Climate Watch,TRUE
Adaptation,Implementation (Adaptation),,A_Cd_ConMOI,Implementation Conditional Upon Means of Implementation (Yes/No),,,Climate Watch,TRUE
Adaptation,Planning Process (Adaptation),,A_Pl_NatDevPol,Building on Existing National Development/Resilience Policies and Plans,The existing national development/resilience policies that the NDC builds on,,Climate Watch,TRUE
Adaptation,Planning Process (Adaptation),,A_Pl_PolDec,Political Decision for NDC Planning,The agency in charge for the planning of the NDC,,Climate Watch,TRUE
Adaptation,Planning Process (Adaptation),,A_Pl_TecGr,Technical Group Engagement in NDC Planning (Yes/No),Whether or not a technical group was engaged in the NDC planning,,Climate Watch,TRUE
Adaptation,Planning Process (Adaptation),,A_Pl_PrivSec,Private Sector Engagement in NDC Planning (Yes/No),Whether or not the private sector actors were engaged in the NDC planning,,Climate Watch,TRUE
Adaptation,Planning Process (Adaptation),,A_Pl_MulComm,Multisectoral Commission Engagement in NDC Planning (Yes/No),Whether or not a multi-sectoral commission was engaged in NDC planning.,,Climate Watch,TRUE
Adaptation,Planning Process (Adaptation),,A_Pl_CivSoc,Civil Society Engagement in NDC Planning (Yes/No),Whether or not civil society actors were engaged in the NDC planning,,Climate Watch,TRUE
Adaptation,Planning Process (Adaptation),,A_Pl_DevBen,Assessment of Development Benefits in NDC,Information assessment of development benefits in NDC,,Climate Watch,TRUE
Adaptation,Planning Process (Adaptation),,A_Pl_DevPar,NDC Development Supported by Development Partner,The development partners that have supported the NDC development,,Climate Watch,TRUE
Adaptation,Planning Process (Adaptation),,A_Pl_Barr,Barriers identifed for NDC Implementation,Identified barriers for NDC implementation.,,Climate Watch,TRUE
Adaptation,Planning Process (Adaptation),,A_Pl_Com,General Comments,General comments relevant to the adaption effort,,Climate Watch,TRUE
Sectoral Information,Sectoral Mitigation Targets,,M_SecTar1,Sectoral targets on,Targets at the sectoral level,,WB,TRUE
Sectoral Information,Sectoral Mitigation Targets,,M_SecTar2,Tracking progress towards targets,Information on progress towards a given sectoral target,,WB,TRUE
Sectoral Information,Sectoral Mitigation Targets,,M_SecTar4,Emission reduction potential,emission reduction potential for a given sectoral target,,WB,TRUE
Sectoral Information,Sectoral Mitigation Targets,,M_SecTar5,Estimated total costs for implementation,Estimated total cost of implementation for a given sectoral target,,WB,TRUE
Sectoral Information,Sectoral Mitigation Targets,,M_SecTar6,Capacity building needs,Capacity building needed for a given sectoral target,,WB,TRUE
Sectoral Information,Sectoral Mitigation Targets,,M_SecTar7,Technology needs,Technology needed for a given sectoral target ,,WB,TRUE
Sectoral Information,Sectoral Mitigation Targets,,M_SecTar8,Unconditional part of mitigation target,Unconditional part of the mitigation effort for a given sectoral target,,WB,TRUE
